RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
R220648|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||5.4|10/18/2004|12:00|0.304878||||||WC|FO|RT|OVERCAST, HOT, WINDY, SW @ 10-15 MPH, WATER BROWN AND TURBID, RECENT HIGH FLOW
R206850|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||10.42|12/10/2002|11:30|0.3||||||WC|FO|RT|COLD, OVERCAST, LIGHT BRIDGE TRAFFIC.  HIGH FLOW FROM RECENT RAINS.  WATER BROWN GRAY.
2284512|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||11.55|12/10/2002|11:30|0.91||||||WC|FO|RT|
13195587|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||8.8|01/04/2012|10:44|1||||||WC|FO|RT|
13297163|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||3.7|04/11/2012|11:04|0.3||||||WC|FO|RT|
14342006|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||10.8|12/12/2013|11:15|1.2||||||WC|FO|RT|
14391929|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||6.9|06/17/2014|11:18|0.3||||||WC|FO|RT|
L064851|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||5.26|07/18/2001|12:59|0.8||||||LC|LC|RT|
L070015|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||0.83|09/09/2002|14:07|0.9||||||LC|LC|RT|
L071042|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||9.79|03/05/2003|11:18|0.3||||||LC|LC|RT|
L076039|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||15.64|01/13/2004|13:15|0.33||||||LC|LC|RT|
L077311|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||8.47|07/13/2004|11:55|0.32||||||LC|LC|RT|
L083166|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||8.74|11/01/2005|12:55|1.8||||||LC|LC|RT|
L080231|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||8.43|03/01/2005|12:25|0.3||||||LC|LC|RT|
L089546|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||9.2|03/03/2008|13:20|0.3||||||LC|LC|RT|
L092530|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||7.7|11/05/2008|11:30|0.3||||||LC|LC|RT|
12484689|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||4|09/23/2010|10:22|0.3||||||WC|FO|RT|
12331796|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||3.3|06/28/2010|10:26|0.85||||||WC|FO|RT|
12318587|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||3.6|06/28/2010|10:26|0.3||||||WC|FO|RT|
12897522|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||4.1|06/01/2011|10:10|0.8||||||WC|FO|RT|
14578838|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||5.7|03/21/2017|11:47|1.8||||||WC|FO|RT|
14539389|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||6|09/28/2016|10:58|0.65||||||WC|FO|RT|
