RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
1492258|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|03/17/2015|11:32|0.3||||||WC|FO|RT|
WR1158N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|11/23/2020|11:15|0.3||||||WR|WR|RTWD|
L072193|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||85|01/02/2003|11:25|0.3||||||LC|LC|RT|
L074932|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||220|09/30/2003|13:54|0.33||||||LC|LC|RT|
L077903|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||170|09/14/2004|13:50|0.33||||||LC|LC|RT|
L079631|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|05/10/2005|12:15|0.3||||||LC|LC|RT|
L081482|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||30|09/01/2005|11:40|0.33||||||LC|LC|RT|
L082720|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||70|01/10/2006|12:15|0.3||||||LC|LC|RT|
L088975|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||100|07/09/2007|13:35|0.3||||||LC|LC|RT|
L093975|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)|<|10|03/11/2009|10:05|0.3||||||LC|LC|RT|
1259189|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||10|06/01/2011|10:10|0.3||||||WC|FO|RT|
1475370|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||97|10/02/2014|10:45|0.3||||||WC|FO|RT|
WR1144N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||1000|07/29/2020|12:18|0.3||||||WR|WR|RTWD|
1841786|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||21|09/20/2021|11:47|0.3||||||WC|FO|RT|
WR1188N|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||120|08/18/2021|10:30|0.3||||||WR|WR|RTWD|
TX101675|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||74|11/21/2023|09:50|0.3||||||TX|WR|RT|
TX101683|1501|12515|TRES PALACIOS CREEK AT FM 521|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||30|02/13/2024|00:00|0.3||||||TX|WR|RT|Parameter 00620 should be reported as ≤ instead of <. Light film on water. Double checked SPC since it seemed low for the site.
WR1140N|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|31701|ENTEROCOCCI, ENTEROLERT, IDEXX, (MPN/100 ML)||50|06/30/2020|11:15|0.3||||||WR|WR|RTWD|
